DATE,10Y Treasury,10Y TIPS
2017-04-12,2.28,0.38
2017-04-13,2.24,0.32
2017-04-17,2.26,0.38
2017-04-18,2.18,0.33
2017-04-19,2.21,0.36
2017-04-20,2.24,0.39
2017-04-21,2.24,0.4
2017-04-24,2.28,0.41
2017-04-25,2.35,0.44
2017-04-26,2.32,0.42
2017-04-27,2.3,0.39
2017-04-28,2.29,0.37
2017-05-01,2.33,0.41
2017-05-02,2.29,0.41
2017-05-03,2.33,0.46
2017-05-04,2.36,0.5
2017-05-05,2.36,0.5
2017-05-08,2.39,0.53
2017-05-09,2.42,0.56
2017-05-10,2.41,0.56
2017-05-11,2.39,0.51
2017-05-12,2.33,0.49
2017-05-15,2.34,0.52
2017-05-16,2.33,0.51
2017-05-17,2.22,0.44
2017-05-18,2.23,0.43
2017-05-19,2.23,0.41
2017-05-22,2.25,0.43
2017-05-23,2.29,0.46
2017-05-24,2.26,0.45
2017-05-25,2.25,0.45
2017-05-26,2.25,0.44
2017-05-30,2.21,0.4
2017-05-31,2.21,0.4
2017-06-01,2.21,0.4
2017-06-02,2.15,0.36
2017-06-05,2.18,0.39
2017-06-06,2.14,0.37
2017-06-07,2.18,0.4
2017-06-08,2.19,0.41
2017-06-09,2.21,0.43
2017-06-12,2.21,0.46
2017-06-13,2.21,0.46
2017-06-14,2.15,0.44
2017-06-15,2.16,0.49
2017-06-16,2.16,0.49
2017-06-19,2.19,0.52
2017-06-20,2.16,0.5
2017-06-21,2.16,0.5
2017-06-22,2.15,0.46
2017-06-23,2.15,0.45
2017-06-26,2.14,0.43
2017-06-27,2.21,0.5
2017-06-28,2.22,0.49
2017-06-29,2.27,0.55
2017-06-30,2.31,0.58
2017-07-03,2.35,0.6
2017-07-05,2.33,0.58
2017-07-06,2.37,0.61
2017-07-07,2.39,0.66
2017-07-10,2.38,0.66
2017-07-11,2.37,0.62
2017-07-12,2.33,0.57
2017-07-13,2.35,0.58
2017-07-14,2.33,0.57
2017-07-17,2.31,0.54
2017-07-18,2.27,0.51
2017-07-19,2.27,0.51
2017-07-20,2.27,0.5
2017-07-21,2.24,0.48
2017-07-24,2.26,0.48
2017-07-25,2.33,0.52
2017-07-26,2.29,0.49
2017-07-27,2.32,0.49
2017-07-28,2.3,0.47
2017-07-31,2.3,0.48
2017-08-01,2.26,0.47
2017-08-02,2.27,0.48
2017-08-03,2.24,0.46
2017-08-04,2.27,0.47
2017-08-07,2.26,0.46
2017-08-08,2.29,0.46
2017-08-09,2.24,0.42
2017-08-10,2.2,0.4
2017-08-11,2.19,0.4
2017-08-14,2.22,0.45
2017-08-15,2.27,0.49
2017-08-16,2.23,0.45
2017-08-17,2.19,0.42
2017-08-18,2.19,0.43
2017-08-21,2.18,0.43
2017-08-22,2.22,0.45
2017-08-23,2.17,0.42
2017-08-24,2.19,0.44
2017-08-25,2.17,0.42
2017-08-28,2.16,0.41
2017-08-29,2.13,0.39
2017-08-30,2.15,0.39
2017-08-31,2.12,0.36
2017-09-01,2.16,0.37
2017-09-05,2.07,0.3
2017-09-06,2.1,0.32
2017-09-07,2.05,0.26
2017-09-08,2.06,0.25
2017-09-11,2.14,0.31
2017-09-12,2.17,0.33
2017-09-13,2.2,0.35
2017-09-14,2.2,0.35
2017-09-15,2.2,0.35
2017-09-18,2.23,0.36
2017-09-19,2.24,0.37
2017-09-20,2.28,0.43
2017-09-21,2.27,0.44
2017-09-22,2.26,0.42
2017-09-25,2.22,0.38
2017-09-26,2.24,0.4
2017-09-27,2.31,0.44
2017-09-28,2.31,0.44
2017-09-29,2.33,0.49
2017-10-02,2.34,0.51
2017-10-03,2.33,0.49
2017-10-04,2.33,0.48
2017-10-05,2.35,0.49
2017-10-06,2.37,0.5
2017-10-10,2.35,0.47
2017-10-11,2.35,0.46
2017-10-12,2.33,0.44
2017-10-13,2.28,0.43
2017-10-16,2.3,0.46
2017-10-17,2.3,0.48
2017-10-18,2.34,0.5
2017-10-19,2.33,0.49
2017-10-20,2.39,0.52
2017-10-23,2.38,0.52
2017-10-24,2.42,0.55
2017-10-25,2.44,0.56
2017-10-26,2.46,0.57
2017-10-27,2.42,0.54
2017-10-30,2.37,0.5
2017-10-31,2.38,0.5
2017-11-01,2.37,0.49
2017-11-02,2.35,0.48
2017-11-03,2.34,0.48
2017-11-06,2.32,0.46
2017-11-07,2.32,0.44
2017-11-08,2.32,0.45
2017-11-09,2.33,0.46
2017-11-10,2.4,0.52
2017-11-13,2.4,0.52
2017-11-14,2.38,0.51
2017-11-15,2.33,0.48
2017-11-16,2.37,0.53
2017-11-17,2.35,0.49
2017-11-20,2.37,0.52
2017-11-21,2.36,0.52
2017-11-22,2.32,0.48
2017-11-24,2.34,0.5
2017-11-27,2.32,0.49
2017-11-28,2.34,0.5
2017-11-29,2.37,0.53
2017-11-30,2.42,0.56
2017-12-01,2.37,0.51
2017-12-04,2.37,0.5
2017-12-05,2.36,0.5
2017-12-06,2.33,0.47
2017-12-07,2.37,0.5
2017-12-08,2.38,0.5
2017-12-11,2.39,0.51
2017-12-12,2.4,0.51
2017-12-13,2.36,0.48
2017-12-14,2.35,0.48
2017-12-15,2.35,0.47
2017-12-18,2.39,0.5
2017-12-19,2.46,0.55
2017-12-20,2.49,0.57
2017-12-21,2.48,0.55
2017-12-22,2.48,0.54
2017-12-26,2.47,0.53
2017-12-27,2.42,0.48
2017-12-28,2.43,0.47
2017-12-29,2.4,0.44
2018-01-02,2.46,0.46
2018-01-03,2.44,0.46
2018-01-04,2.46,0.45
2018-01-05,2.47,0.46
2018-01-08,2.49,0.47
2018-01-09,2.55,0.52
2018-01-10,2.55,0.52
2018-01-11,2.54,0.54
2018-01-12,2.55,0.54
2018-01-16,2.54,0.51
2018-01-17,2.57,0.53
2018-01-18,2.62,0.57
2018-01-19,2.64,0.58
