Emittententicker,Name,Sektor,Gewichtung,Boerse
AON,AON PLC CLASS A,Financials,0.17,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Financials,0.17,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Nichtzyklische Konsumgüter,0.17,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Materialien,0.16,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,IT,0.16,New York Stock Exchange Inc.
MCO,MOODYS CORP,Financials,0.16,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Industrie,0.16,New York Stock Exchange Inc.
KLAC,KLA CORP,IT,0.16,NASDAQ
FISV,FISERV INC,IT,0.16,NASDAQ
D,DOMINION ENERGY INC,Versorger,0.15,New York Stock Exchange Inc.
FDX,FEDEX CORP,Industrie,0.15,New York Stock Exchange Inc.
NXPI,NXP SEMICONDUCTORS NV,IT,0.15,NASDAQ
HCA,HCA HEALTHCARE INC,Gesundheitsversorgung,0.15,New York Stock Exchange Inc.
ADSK,AUTODESK INC,IT,0.15,NASDAQ
BSX,BOSTON SCIENTIFIC CORP,Gesundheitsversorgung,0.15,New York Stock Exchange Inc.
HUM,HUMANA INC,Gesundheitsversorgung,0.15,New York Stock Exchange Inc.
ECL,ECOLAB INC,Materialien,0.14,New York Stock Exchange Inc.
FCX,FREEPORT MCMORAN INC,Materialien,0.14,New York Stock Exchange Inc.
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrie,0.14,New York Stock Exchange Inc.
PGR,PROGRESSIVE CORP,Financials,0.14,New York Stock Exchange Inc.
NOC,NORTHROP GRUMMAN CORP,Industrie,0.14,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Industrie,0.14,New York Stock Exchange Inc.
DXCM,DEXCOM INC,Gesundheitsversorgung,0.14,NASDAQ
ILMN,ILLUMINA INC,Gesundheitsversorgung,0.14,NASDAQ
SNPS,SYNOPSYS INC,IT,0.14,NASDAQ
VRTX,VERTEX PHARMACEUTICALS INC,Gesundheitsversorgung,0.14,NASDAQ
XLNX,XILINX INC,IT,0.13,NASDAQ
DG,DOLLAR GENERAL CORP,Zyklische Konsumgüter ,0.13,New York Stock Exchange Inc.
INFO,IHS MARKIT LTD,Industrie,0.13,New York Stock Exchange Inc.
PSA,PUBLIC STORAGE REIT,Immobilien,0.13,New York Stock Exchange Inc.
EXC,EXELON CORP,Versorger,0.13,NASDAQ
EOG,EOG RESOURCES INC,Energie,0.13,New York Stock Exchange Inc.
IDXX,IDEXX LABORATORIES INC,Gesundheitsversorgung,0.13,NASDAQ
IQV,IQVIA HOLDINGS INC,Gesundheitsversorgung,0.13,New York Stock Exchange Inc.
TEL,TE CONNECTIVITY LTD,IT,0.13,New York Stock Exchange Inc.
MSCI,MSCI INC,Financials,0.13,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Immobilien,0.13,New York Stock Exchange Inc.
CDNS,CADENCE DESIGN SYSTEMS INC,IT,0.13,NASDAQ
APH,AMPHENOL CORP CLASS A,IT,0.13,New York Stock Exchange Inc.
ALGN,ALIGN TECHNOLOGY INC,Gesundheitsversorgung,0.12,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Industrie,0.12,New York Stock Exchange Inc.
CARR,CARRIER GLOBAL CORP,Industrie,0.12,New York Stock Exchange Inc.
CMG,CHIPOTLE MEXICAN GRILL INC,Zyklische Konsumgüter ,0.12,New York Stock Exchange Inc.
TT,TRANE TECHNOLOGIES PLC,Industrie,0.12,New York Stock Exchange Inc.
MCHP,MICROCHIP TECHNOLOGY INC,IT,0.12,NASDAQ
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,0.12,New York Stock Exchange Inc.
A,AGILENT TECHNOLOGIES INC,Gesundheitsversorgung,0.12,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Industrie,0.12,New York Stock Exchange Inc.
DLR,DIGITAL REALTY TRUST REIT INC,Immobilien,0.12,New York Stock Exchange Inc.
ORLY,OREILLY AUTOMOTIVE INC,Zyklische Konsumgüter ,0.12,NASDAQ
ATVI,ACTIVISION BLIZZARD INC,Kommunikation,0.12,NASDAQ
KMB,KIMBERLY CLARK CORP,Nichtzyklische Konsumgüter,0.12,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Financials,0.11,New York Stock Exchange Inc.
TROW,T ROWE PRICE GROUP INC,Financials,0.11,NASDAQ
APTV,APTIV PLC,Zyklische Konsumgüter ,0.11,New York Stock Exchange Inc.
NEM,NEWMONT,Materialien,0.11,New York Stock Exchange Inc.
MET,METLIFE INC,Financials,0.11,New York Stock Exchange Inc.
MSI,MOTOROLA SOLUTIONS INC,IT,0.11,New York Stock Exchange Inc.
CNC,CENTENE CORP,Gesundheitsversorgung,0.11,New York Stock Exchange Inc.
LHX,L3HARRIS TECHNOLOGIES INC,Industrie,0.11,New York Stock Exchange Inc.
